,ZN0707.SHF,ZN0708.SHF,ZN0709.SHF,ZN0710.SHF,ZN0711.SHF,ZN0712.SHF,ZN0801.SHF,ZN0802.SHF,ZN0803.SHF,ZN0804.SHF,ZN0805.SHF,ZN0806.SHF,ZN0807.SHF,ZN0808.SHF,ZN0809.SHF,ZN0810.SHF,ZN0811.SHF,ZN0812.SHF,ZN0901.SHF,ZN0902.SHF,ZN0903.SHF,ZN0904.SHF,ZN0905.SHF,ZN0906.SHF,ZN0907.SHF,ZN0908.SHF,ZN0909.SHF,ZN0910.SHF,ZN0911.SHF,ZN0912.SHF,ZN1001.SHF,ZN1002.SHF,ZN1003.SHF,ZN1004.SHF,ZN1005.SHF,ZN1006.SHF,ZN1007.SHF,ZN1008.SHF,ZN1009.SHF,ZN1010.SHF,ZN1011.SHF,ZN1012.SHF,ZN1101.SHF,ZN1102.SHF,ZN1103.SHF,ZN1104.SHF,ZN1105.SHF,ZN1106.SHF,ZN1107.SHF,ZN1108.SHF,ZN1109.SHF,ZN1110.SHF,ZN1111.SHF,ZN1112.SHF,ZN1201.SHF,ZN1202.SHF,ZN1203.SHF,ZN1204.SHF,ZN1205.SHF,ZN1206.SHF,ZN1207.SHF,ZN1208.SHF,ZN1209.SHF,ZN1210.SHF,ZN1211.SHF,ZN1212.SHF,ZN1301.SHF,ZN1302.SHF,ZN1303.SHF,ZN1304.SHF,ZN1305.SHF,ZN1306.SHF,ZN1307.SHF,ZN1308.SHF,ZN1309.SHF,ZN1310.SHF,ZN1311.SHF,ZN1312.SHF,ZN1401.SHF,ZN1402.SHF,ZN1403.SHF,ZN1404.SHF,ZN1405.SHF,ZN1406.SHF,ZN1407.SHF,ZN1408.SHF,ZN1409.SHF,ZN1410.SHF,ZN1411.SHF,ZN1412.SHF,ZN1501.SHF,ZN1502.SHF,ZN1503.SHF,ZN1504.SHF,ZN1505.SHF,ZN1506.SHF,ZN1507.SHF,ZN1508.SHF,ZN1509.SHF,ZN1510.SHF,ZN1511.SHF,ZN1512.SHF,ZN1601.SHF,ZN1602.SHF,ZN1603.SHF,ZN1604.SHF,ZN1605.SHF,ZN1606.SHF,ZN1607.SHF,ZN1608.SHF,ZN1609.SHF,ZN1610.SHF,ZN1611.SHF,ZN1612.SHF,ZN1701.SHF,ZN1702.SHF,ZN1703.SHF,ZN1704.SHF,ZN1705.SHF,ZN1706.SHF,ZN1707.SHF,ZN1708.SHF,ZN1709.SHF,ZN1710.SHF,ZN1711.SHF,ZN1712.SHF,ZN1801.SHF,ZN1802.SHF,ZN1803.SHF,ZN1804.SHF,ZN1805.SHF,ZN1806.SHF,ZN1807.SHF,ZN1808.SHF,ZN1809.SHF,ZN1810.SHF,ZN1811.SHF,ZN1812.SHF,ZN1901.SHF,ZN1902.SHF,ZN1903.SHF
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,
